,depths,Eu_500.0,Ed_500.0,Eo_500.0,Eod_500.0,Eou_500.0,a_500.0,b_500.0,bb_500.0,Kd_500.0,g
0,0.0,0.77452,1.0,2.9493,1.5617,1.3876,500.0,500.0,500.0,500.0,0.0
1,0.0,1.4176,1.6431,6.0669,3.1891,2.8778,0.0479,500.0,11.48,3.574,0.0
2,0.01,1.3304,1.553,5.7981,3.0776,2.7205,0.0479,500.0,11.48,6.4439,0.0
3,0.02,1.2382,1.4582,5.399,2.868,2.531,0.0479,500.0,11.48,6.2021,0.0
4,0.03,1.1524,1.3698,5.0444,2.6869,2.3576,0.0479,500.0,11.48,6.3613,0.0
5,0.04,1.0685,1.2836,4.7034,2.5142,2.1892,0.0479,500.0,11.48,6.682,0.0
6,0.05,0.9857,1.1986,4.3676,2.3446,2.023,0.0479,500.0,11.48,7.0742,0.0
7,0.06,0.90364,1.1145,4.0353,2.177,1.8584,0.0479,500.0,11.48,7.5301,0.0
8,0.07,0.82226,1.0313,3.7062,2.011,1.6952,0.0479,500.0,11.48,8.0616,0.0
9,0.08,0.74149,0.9488,3.3798,1.8465,1.5333,0.0479,500.0,11.48,8.688,0.0
10,0.09,0.66125,0.86701,3.0556,1.6833,1.3723,0.0479,500.0,11.48,9.4418,0.0
11,0.1,0.58482,0.78905,2.7441,1.5271,1.217,0.0479,50.0,1.148,1.1227,0.0
12,0.11,0.57733,0.78025,2.7107,1.5091,1.2015,0.0479,50.0,1.148,1.1215,0.0
13,0.12,0.56992,0.77155,2.678,1.4917,1.1863,0.0479,50.0,1.148,1.1238,0.0
14,0.13,0.56257,0.76292,2.6458,1.4745,1.1713,0.0479,50.0,1.148,1.1259,0.0
15,0.14,0.55527,0.75437,2.614,1.4576,1.1564,0.0479,50.0,1.148,1.1307,0.0
16,0.15,0.54803,0.74588,2.5824,1.4408,1.1416,0.0479,50.0,1.148,1.1343,0.0
17,0.16,0.54083,0.73745,2.5511,1.4242,1.1269,0.0479,50.0,1.148,1.1378,0.0
18,0.17,0.53368,0.72908,2.5201,1.4077,1.1123,0.0479,50.0,1.148,1.1432,0.0
19,0.18,0.52657,0.72078,2.4892,1.3914,1.0979,0.0479,50.0,1.148,1.1486,0.0
20,0.19,0.51951,0.71253,2.4586,1.3751,1.0835,0.0479,50.0,1.148,1.154,0.0
21,0.2,0.51248,0.70433,2.4282,1.359,1.0692,0.0479,50.0,1.148,1.1596,0.0
22,0.21,0.5055,0.69619,2.398,1.343,1.0549,0.0479,50.0,1.148,1.1649,0.0
23,0.22,0.49856,0.68811,2.368,1.3272,1.0408,0.0479,50.0,1.148,1.1714,0.0
24,0.23,0.49165,0.68008,2.3381,1.3114,1.0267,0.0479,50.0,1.148,1.1791,0.0
25,0.24,0.48479,0.6721,2.3085,1.2957,1.0128,0.0479,50.0,1.148,1.1828,0.0
26,0.25,0.47796,0.66417,2.279,1.2801,0.99888,0.0479,50.0,1.148,1.1889,0.0
