#Grenfell, T. C., & Perovich, D. K. (1981)
#Radiation absorption coefficients of polycrystalline ice from 400–1400 nm.
#Journal of Geophysical Research: Oceans, 86(C8), 7447-7450.
#wavelength    abscoeff   imaginary_index
#nanometers    m^-1
400 8.50E-2 2.71E-9
410 7.70E-2 2.51E-9
420 6.77E-2 2.26E-9
430 6.09E-2 2.08E-9
440 5.45E-2 1.91E-9
450 4.30E-2 1.54E-9
460 4.19E-2 1.53E-9
470 4.14E-2 1.55E-9
480 4.30E-2 1.64E-9
490 4.57E-2 1.78E-9
500 4.79E-2 1.91E-9
510 5.26E-2 2.14E-9
520 5.45E-2 2.26E-9
530 6.03E-2 2.54E-9
540 6.83E-2 2.93E-9
550 7.10E-2 3.11E-9
560 7.38E-2 3.29E-9
570 7.75E-2 3.52E-9
580 8.76E-2 4.04E-9
590 1.04E-1 4.88E-9
600 1.20E-1 5.73E-9
610 1.42E-1 6.89E-9
620 1.74E-1 8.58E-9
630 2.08E-1 1.04E-8
640 2.40E-1 1.22E-8
650 2.76E-1 1.43E-8
660 3.16E-1 1.66E-8
670 3.54E-1 1.89E-8
680 3.86E-1 2.09E-8
690 4.38E-1 2.40E-8
700 5.20E-1 2.90E-8
710 6.09E-1 3.44E-8
720 7.03E-1 4.03E-8
730 7.41E-1 4.30E-8
740 8.35E-1 4.92E-8
750 9.84E-1 5.87E-8
760 1.17E-0 7.08E-8
770 1.40E-0 8.58E-8
780 1.64E-0 1.02E-7
790 1.87E-0 1.18E-7
800 2.10E-0 1.34E-7
810 2.17E-0 1.40E-7
820 2.19E-0 1.43E-7
830 2.19E-0 1.45E-7
840 2.26E-0 1.51E-7
850 2.70E-0 1.83E-7
860 3.14E-0 2.15E-7
870 3.83E-0 2.65E-7
880 4.78E-0 3.35E-7
890 5.53E-0 3.92E-7
900 5.86E-0 4.20E-7
910 6.13E-0 4.44E-7
920 6.48E-0 4.74E-7
930 6.90E-0 5.11E-7
940 7.39E-0 5.53E-7
950 7.96E-0 6.02E-7
960 9.88E-0 7.55E-7
970 1.20E+1 9.26E-7
980 1.43E+1 1.12E-6
990 1.69E+1 1.33E-6
1000 2.04E+1 1.62E-6
1010 2.49E+1 2.00E-6
1020 2.77E+1 2.25E-6
1030 2.84E+1 2.33E-6
1040 2.81E+1 2.33E-6
1050 2.60E+1 2.17E-6
1060 2.32E+1 1.96E-6
1070 2.12E+1 1.81E-6
1080 2.03E+1 1.74E-6
1090 1.99E+1 1.73E-6
1100 1.94E+1 1.70E-6
