\begin_header
EXAMPLE HYDROSCAT-6 DATA WITH WATER showing the Hydrolight Standard Format for backscatter data.
(These data were taken in conjunction with files AC9_total.txt and AC9_filtered.txt and are the same particle bb as contained in file Hydroscat6_withoutH2O.txt.)
NOTE: These bb values are the total (water + particles) backscatter coef b_b.
Select the option "bb data file includes pure water bb" on the IOP data form. 
Pure sea water bb values will be then SUBTRACTED by Hydrolight to get the particle bb.
Column headers (depth in m and bb in 1/m):
 depth     bb442      bb488      bb532      bb590      bb620      bb671
The first data record gives the number of wavelengths and the wavelengths.
\end_header
  6      442.0      488.0      532.0      590.0      620.0      671.0
  1.391  7.220e-03  6.770e-03  6.223e-03  5.247e-03  4.883e-03  4.260e-03
  1.997  7.027e-03  6.487e-03  5.833e-03  5.104e-03  4.760e-03  4.170e-03
  2.415  7.141e-03  6.559e-03  5.965e-03  5.043e-03  4.963e-03  4.304e-03
  2.964  7.175e-03  6.992e-03  6.331e-03  5.273e-03  4.969e-03  4.387e-03
  3.397  7.985e-03  7.719e-03  6.991e-03  6.438e-03  5.595e-03  5.181e-03
  3.988  9.361e-03  8.107e-03  7.730e-03  6.674e-03  6.276e-03  6.495e-03
  4.436  8.982e-03  8.330e-03  7.665e-03  6.924e-03  6.428e-03  6.401e-03
  4.970  9.387e-03  9.112e-03  8.202e-03  6.755e-03  6.608e-03  6.628e-03
  5.475  9.603e-03  1.059e-02  9.832e-03  9.398e-03  7.204e-03  7.508e-03
  5.937  1.084e-02  1.385e-02  1.281e-02  1.368e-02  8.452e-03  8.710e-03
  6.413  1.222e-02  1.219e-02  1.152e-02  1.367e-02  8.636e-03  9.745e-03
  7.034  1.178e-02  1.283e-02  1.217e-02  1.234e-02  8.841e-03  9.099e-03
  7.510  1.226e-02  1.238e-02  1.154e-02  1.195e-02  9.936e-03  9.831e-03
  8.015  1.413e-02  1.233e-02  1.221e-02  1.359e-02  1.147e-02  1.105e-02
  8.462  1.283e-02  1.446e-02  1.388e-02  1.185e-02  9.924e-03  9.242e-03
  8.910  1.292e-02  1.100e-02  9.803e-03  1.007e-02  8.174e-03  9.078e-03
  9.429  1.286e-02  1.183e-02  1.104e-02  1.066e-02  1.084e-02  8.978e-03
  9.934  1.187e-02  1.357e-02  1.309e-02  9.427e-03  9.205e-03  8.733e-03
 10.483  9.493e-03  1.105e-02  9.920e-03  8.566e-03  7.185e-03  6.440e-03
 10.916  8.561e-03  1.068e-02  9.565e-03  7.749e-03  8.309e-03  6.127e-03
 11.435  8.703e-03  9.723e-03  8.625e-03  7.408e-03  8.233e-03  7.097e-03
 11.955  9.796e-03  9.011e-03  8.402e-03  7.234e-03  7.234e-03  7.564e-03
 12.402  9.281e-03  9.169e-03  8.330e-03  7.150e-03  5.975e-03  6.354e-03
 12.979  8.982e-03  9.701e-03  8.889e-03  7.122e-03  6.649e-03  6.342e-03
 13.514  9.648e-03  9.443e-03  8.801e-03  7.999e-03  6.892e-03  6.778e-03
 13.918  8.619e-03  1.043e-02  9.117e-03  7.157e-03  6.766e-03  6.029e-03
 14.553  9.474e-03  9.408e-03  8.913e-03  7.455e-03  6.897e-03  6.678e-03
 14.957  1.011e-02  1.028e-02  9.088e-03  7.832e-03  6.328e-03  7.559e-03
 15.491  1.068e-02  9.276e-03  8.691e-03  8.415e-03  7.790e-03  7.702e-03
 15.924  1.181e-02  1.072e-02  9.789e-03  9.253e-03  8.525e-03  9.578e-03
 16.587  9.611e-03  1.046e-02  9.810e-03  8.318e-03  8.302e-03  7.590e-03
 17.006  1.030e-02  1.115e-02  1.030e-02  9.897e-03  7.889e-03  8.009e-03
 17.482  1.073e-02  1.076e-02  1.046e-02  1.039e-02  9.888e-03  8.369e-03
 17.973  1.105e-02  1.310e-02  1.164e-02  1.031e-02  8.591e-03  8.308e-03
 18.449  9.893e-03  1.177e-02  1.044e-02  7.281e-03  6.876e-03  6.998e-03
 18.911  9.570e-03  1.056e-02  9.674e-03  6.880e-03  6.501e-03  6.542e-03
 19.560  1.010e-02  9.523e-03  8.713e-03  8.460e-03  7.703e-03  7.209e-03
 19.993  1.056e-02  9.293e-03  8.697e-03  8.477e-03  6.203e-03  7.441e-03
 20.412  9.367e-03  9.052e-03  8.202e-03  7.092e-03  6.639e-03  6.309e-03
\end_data
