depth	K_PAR (from Eo)	K_d (broadband)
0.005	5.24E+00	7.15E+00
0.025	3.97E+00	4.39E+00
0.045	5.01E+00	4.65E+00
0.065	5.55E+00	4.88E+00
0.085	6.17E+00	5.15E+00
0.105	2.58E+00	2.43E+00
0.125	2.47E+00	2.40E+00
0.145	2.43E+00	2.39E+00
0.165	2.41E+00	2.39E+00
0.185	2.40E+00	2.38E+00
0.205	2.39E+00	2.38E+00
0.225	2.39E+00	2.38E+00
0.245	2.38E+00	2.38E+00
0.265	2.38E+00	2.37E+00
0.285	2.38E+00	2.37E+00
0.305	2.38E+00	2.37E+00
0.325	2.38E+00	2.37E+00
0.345	2.38E+00	2.37E+00
0.365	2.38E+00	2.37E+00
0.385	2.38E+00	2.37E+00
0.405	2.38E+00	2.37E+00
0.425	2.38E+00	2.37E+00
0.445	2.38E+00	2.37E+00
0.465	2.38E+00	2.37E+00
0.485	2.38E+00	2.37E+00
0.505	2.38E+00	2.38E+00
0.525	2.38E+00	2.38E+00
0.545	2.38E+00	2.38E+00
0.565	2.38E+00	2.38E+00
0.585	2.38E+00	2.38E+00
0.605	2.38E+00	2.38E+00
0.625	2.39E+00	2.38E+00
0.645	2.39E+00	2.38E+00
0.665	2.39E+00	2.38E+00
0.685	2.39E+00	2.38E+00
0.705	2.39E+00	2.38E+00
0.725	2.39E+00	2.38E+00
0.745	2.40E+00	2.38E+00
0.765	2.40E+00	2.38E+00
0.785	2.40E+00	2.39E+00
0.805	2.40E+00	2.39E+00
0.825	2.41E+00	2.39E+00
0.845	2.41E+00	2.39E+00
0.865	2.42E+00	2.39E+00
0.885	2.42E+00	2.40E+00
0.905	2.42E+00	2.40E+00
0.925	2.43E+00	2.40E+00
0.945	2.44E+00	2.40E+00
0.965	2.44E+00	2.41E+00
0.985	2.45E+00	2.41E+00
1.005	2.46E+00	2.41E+00
1.025	2.47E+00	2.42E+00
1.045	2.48E+00	2.42E+00
1.065	2.49E+00	2.43E+00
1.085	2.50E+00	2.43E+00
1.105	2.51E+00	2.44E+00
1.125	2.53E+00	2.45E+00
1.145	2.54E+00	2.46E+00
1.165	2.56E+00	2.46E+00
1.185	2.58E+00	2.47E+00
1.205	2.60E+00	2.48E+00
1.225	2.63E+00	2.50E+00
1.245	2.65E+00	2.51E+00
1.265	2.68E+00	2.52E+00
1.285	2.72E+00	2.54E+00
1.305	2.75E+00	2.56E+00
1.325	2.79E+00	2.57E+00
1.345	2.84E+00	2.60E+00
1.365	2.89E+00	2.62E+00
1.385	2.95E+00	2.65E+00
1.405	3.02E+00	2.68E+00
1.425	3.09E+00	2.71E+00
1.445	3.18E+00	2.75E+00
1.465	3.28E+00	2.79E+00
1.485	3.40E+00	2.83E+00
1.505	3.54E+00	2.89E+00
1.525	3.71E+00	2.95E+00
1.545	3.91E+00	3.03E+00
1.565	4.19E+00	3.12E+00
1.585	4.62E+00	3.24E+00
1.605	6.09E+00	4.19E+00
1.625	6.05E+00	4.91E+00
1.645	6.14E+00	4.93E+00
1.665	6.47E+00	4.99E+00
1.685	7.09E+00	5.11E+00
1.705	8.31E+00	5.31E+00
1.725	1.23E+01	5.78E+00
1.745	1.29E+00	8.15E-01
1.765	1.23E+00	8.07E-01
1.785	1.18E+00	8.00E-01
1.805	1.14E+00	7.97E-01
1.825	1.11E+00	7.92E-01
1.845	1.08E+00	7.85E-01
1.865	1.05E+00	7.81E-01
1.885	1.03E+00	7.77E-01
1.905	1.01E+00	7.73E-01
1.925	9.95E-01	7.69E-01
1.945	9.80E-01	7.66E-01
1.965	9.67E-01	7.63E-01
1.985	9.56E-01	7.60E-01
