#Reference: Warren, S. G., and R. E. Brandt (2008), Optical constants of ice from the ultraviolet to the microwave: A revised compilation.
#J. Geophys. Res., 113, D14220, doi:10.1029/2007JD009744. PDF link
#wavelength    real_index   imaginary_index
#micrometers
4.430E-002    0.8228  1.640E-001
4.510E-002    0.8250  1.730E-001
4.590E-002    0.8255  1.830E-001
4.680E-002    0.8258  1.950E-001
4.770E-002    0.8263  2.080E-001
4.860E-002    0.8281  2.230E-001
4.960E-002    0.8347  2.400E-001
5.060E-002    0.8428  2.500E-001
5.170E-002    0.8483  2.590E-001
5.280E-002    0.8505  2.680E-001
5.390E-002    0.8497  2.790E-001
5.510E-002    0.8489  2.970E-001
5.640E-002    0.8519  3.190E-001
5.770E-002    0.8566  3.400E-001
5.900E-002    0.8647  3.660E-001
6.050E-002    0.8797  3.920E-001
6.200E-002    0.8970  4.160E-001
6.360E-002    0.9173  4.400E-001
6.530E-002    0.9400  4.640E-001
6.700E-002    0.9679  4.920E-001
6.890E-002    1.0093  5.170E-001
7.080E-002    1.0536  5.280E-001
7.290E-002    1.0986  5.330E-001
7.380E-002    1.1183  5.340E-001
7.510E-002    1.1449  5.310E-001
7.750E-002    1.1885  5.240E-001
8.000E-002    1.2273  5.100E-001
8.270E-002    1.2629  5.000E-001
8.550E-002    1.3117  4.990E-001
8.860E-002    1.3807  4.680E-001
9.180E-002    1.4091  3.800E-001
9.300E-002    1.4028  3.600E-001
9.540E-002    1.3948  3.390E-001
9.920E-002    1.3964  3.180E-001
1.033E-001    1.4047  2.910E-001
1.078E-001    1.3981  2.510E-001
1.100E-001    1.3886  2.440E-001
1.127E-001    1.3806  2.390E-001
1.140E-001    1.3772  2.390E-001
1.181E-001    1.3783  2.440E-001
1.210E-001    1.3929  2.470E-001
1.240E-001    1.4061  2.240E-001
1.272E-001    1.3999  1.950E-001
1.295E-001    1.3777  1.740E-001
1.305E-001    1.3607  1.720E-001
1.319E-001    1.3389  1.800E-001
1.333E-001    1.3210  1.940E-001
1.348E-001    1.3030  2.130E-001
1.362E-001    1.2871  2.430E-001
1.370E-001    1.2849  2.710E-001
1.378E-001    1.2851  2.890E-001
1.387E-001    1.2970  3.340E-001
1.393E-001    1.3151  3.440E-001
1.409E-001    1.3575  3.820E-001
1.425E-001    1.4130  4.010E-001
1.435E-001    1.4525  4.065E-001
1.442E-001    1.4845  4.050E-001
1.450E-001    1.5157  3.890E-001
1.459E-001    1.5484  3.770E-001
1.468E-001    1.5729  3.450E-001
1.476E-001    1.5915  3.320E-001
1.480E-001    1.6021  3.150E-001
1.485E-001    1.6077  2.980E-001
1.494E-001    1.6156  2.740E-001
1.512E-001    1.6220  2.280E-001
1.531E-001    1.6311  1.980E-001
1.540E-001    1.6345  1.720E-001
1.550E-001    1.6363  1.560E-001
1.569E-001    1.6353  1.100E-001
1.580E-001    1.6309  8.300E-002
1.589E-001    1.6214  5.800E-002
1.610E-001    1.5818  2.200E-002
1.630E-001    1.5482  8.473E-003
1.650E-001    1.5225  3.263E-003
1.670E-001    1.5027  1.256E-003
1.690E-001    1.4870  4.837E-004
1.710E-001    1.4743  1.862E-004
1.730E-001    1.4635  7.165E-005
1.750E-001    1.4543  2.757E-005
1.770E-001    1.4462  1.061E-005
1.790E-001    1.4390  4.081E-006
1.810E-001    1.4326  1.570E-006
1.830E-001    1.4268  5.403E-007
1.850E-001    1.4215  1.829E-007
1.870E-001    1.4167  6.218E-008
1.890E-001    1.4122  2.113E-008
1.910E-001    1.4081  7.181E-009
1.930E-001    1.4043  2.440E-009
1.950E-001    1.4007  8.289E-010
1.970E-001    1.3974  2.816E-010
1.990E-001    1.3943  9.565E-011
2.010E-001    1.3914  3.249E-011
2.019E-001    1.3901  2.0E-011
2.100E-001    1.3801  2.0E-011
2.500E-001    1.3509  2.0E-011
3.000E-001    1.3339  2.0E-011
3.500E-001    1.3249  2.0E-011
3.900E-001    1.3203  2.0E-011
4.000E-001    1.3194  2.365E-011
4.100E-001    1.3185  2.669E-011
4.200E-001    1.3177  3.135E-011
4.300E-001    1.3170  4.140E-011
4.400E-001    1.3163  6.268E-011
4.500E-001    1.3157  9.239E-011
4.600E-001    1.3151  1.325E-010
4.700E-001    1.3145  1.956E-010
4.800E-001    1.3140  2.861E-010
4.900E-001    1.3135  4.172E-010
5.000E-001    1.3130  5.889E-010
5.100E-001    1.3126  8.036E-010
5.200E-001    1.3121  1.076E-009
5.300E-001    1.3117  1.409E-009
5.400E-001    1.3114  1.813E-009
5.500E-001    1.3110  2.289E-009
5.600E-001    1.3106  2.839E-009
5.700E-001    1.3103  3.461E-009
5.800E-001    1.3100  4.159E-009
5.900E-001    1.3097  4.930E-009
6.000E-001    1.3094  5.730E-009
6.100E-001    1.3091  6.890E-009
6.200E-001    1.3088  8.580E-009
6.300E-001    1.3085  1.040E-008
6.400E-001    1.3083  1.220E-008
6.500E-001    1.3080  1.430E-008
6.600E-001    1.3078  1.660E-008
6.700E-001    1.3076  1.890E-008
6.800E-001    1.3073  2.090E-008
6.900E-001    1.3071  2.400E-008
7.000E-001    1.3069  2.900E-008
7.100E-001    1.3067  3.440E-008
7.200E-001    1.3065  4.030E-008
7.300E-001    1.3062  4.300E-008
7.400E-001    1.3060  4.920E-008
7.500E-001    1.3059  5.870E-008
7.600E-001    1.3057  7.080E-008
7.700E-001    1.3055  8.580E-008
7.800E-001    1.3053  1.020E-007
7.900E-001    1.3051  1.180E-007
8.000E-001    1.3049  1.340E-007
8.100E-001    1.3047  1.400E-007
8.200E-001    1.3046  1.430E-007
8.300E-001    1.3044  1.450E-007
8.400E-001    1.3042  1.510E-007
8.500E-001    1.3040  1.830E-007
8.600E-001    1.3039  2.150E-007
8.700E-001    1.3037  2.650E-007
8.800E-001    1.3035  3.350E-007
8.900E-001    1.3033  3.920E-007
9.000E-001    1.3032  4.200E-007
